tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9906	Bos javanicus	133249149	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_083873.1	57468600	57517381	plus	16		
9906	Bos javanicus	133226830	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		15	NC_083882.1	53917665	53979903	minus	14		
309878	Neopsephotus bourkii	133226311	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_026902254.1	11568722	11588449	plus	14		
309878	Neopsephotus bourkii	133211191	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_026901081.1	241211	283515	minus	14		
27606	Eubalaena glacialis	133098537	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		10	NC_083725.1	68623583	68692822	plus	15		
27606	Eubalaena glacialis	133092640	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_083720.1	64675236	64711852	plus	17		
30532	Dama dama	133071853	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		17	NC_083697.1	61356259	61394139	plus	14		
30532	Dama dama	133061877	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_083681.1	52896839	52956941	minus	14		
9690	Panthera onca	132692617	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		11	NC_083305.1	163275255	163312829	minus	15		
9690	Panthera onca	132660587	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		13	NC_083307.1	53229262	53266669	plus	8		
27610	Lagenorhynchus albirostris	132526132	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_083103.1	51865740	51936821	minus	15		
27610	Lagenorhynchus albirostris	132519908	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_083098.1	86003933	86042159	minus	16		
48708	Mesoplodon densirostris	132497781	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		1	NC_082661.1	156975694	157013456	minus	14		
48708	Mesoplodon densirostris	132493291	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		7	NC_082667.1	58599673	58662448	plus	14		
9728	Delphinus delphis	132429682	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		8	NC_082690.1	58404712	58472581	plus	14		
9728	Delphinus delphis	132426031	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_082687.1	76944512	76982988	minus	17		
2746895	Balaenoptera ricei	132369791	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		8	NC_082646.1	60768267	60836738	plus	14		
2746895	Balaenoptera ricei	132365995	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_082643.1	79775662	79818922	minus	15		
30427	Haemorhous mexicanus	132340093	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_082342.1	473251	503349	plus	17		
30427	Haemorhous mexicanus	132326596	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_082344.1	54998828	55027671	minus	15		
98922	Myotis daubentonii	132240800	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_081848.1	41480880	41523523	plus	15		
98922	Myotis daubentonii	132220411	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		1	NC_081840.1	210721193	210752679	minus	15		
2857394	Ammospiza nelsoni	132087400	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_080634.1	723812	748246	plus	14		
2857394	Ammospiza nelsoni	132072299	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_080636.1	22620206	22642110	plus	14		
77151	Mustela nigripes	132024364	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_081557.1	50164711	50214634	minus	15		
77151	Mustela nigripes	132005313	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		1	NC_081557.1	233757659	233792708	plus	14		
42410	Peromyscus eremicus	131920654	0	live	Pgm2		phosphoglucomutase 2	phosphopentomutase		10	NC_081426.1	56566314	56597792	plus	14		
42410	Peromyscus eremicus	131916934	0	live	Pgm2l1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_081416.1	100050999	100106109	minus	14		
9666	Mustela lutreola	131824981	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		1	NC_081290.1	36861592	36897257	minus	14		
9666	Mustela lutreola	131807418	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_081290.1	230875969	230925421	plus	18		
